exp	backbone	backbone_config	max_instances	sampling	epochs	best_metric	dataset_csv	parse_ok	yaml	best_log	best_epoch	val_c_index	test_c_index
TCGA_BLCA_UNI_OS_MIR	MIR_MIL	configs/MIR_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MIR/SURVIVAL_MIL/time_2026-07-16-03-55_TCGA_BLCA_UNI_OS_MIR_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MIR/SURVIVAL_MIL/time_2026-07-16-03-55_TCGA_BLCA_UNI_OS_MIR_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_MIR_SURVIVAL_MIL.csv	12	0.5580075662042875	0.5795739348370927
TCGA_BLCA_UNI_OS_RRT	RRT_MIL	configs/RRT_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_RRT/SURVIVAL_MIL/time_2026-07-16-03-55_TCGA_BLCA_UNI_OS_RRT_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_RRT/SURVIVAL_MIL/time_2026-07-16-03-55_TCGA_BLCA_UNI_OS_RRT_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_RRT_SURVIVAL_MIL.csv	9	0.5983606557377049	0.606516290726817
TCGA_KIRC_R50_OS	AB_MIL	configs/AB_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-52_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-52_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	20	0.7019230769230769	0.7604267701260912
TCGA_KIRC_R50_OS	RRT_MIL	configs/RRT_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-16_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-16_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	20	0.6809440559440559	0.6110572259941804
TCGA_KIRC_R50_OS	MAX_MIL	configs/MAX_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-29_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-29_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	11	0.6625874125874126	0.584384093113482
TCGA_KIRC_R50_OS	MIR_MIL	configs/releases/MIR_MIL_MT_V1.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	29	0.6206293706293706	0.6935014548981572
TCGA_KIRC_R50_OS	MEAN_MIL	configs/MEAN_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	29	0.541083916083916	0.6042677012609118
TCGA_KIRC_R50_PFS	RRT_MIL	configs/RRT_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-33_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-33_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	19	0.735236220472441	0.6438356164383562
TCGA_KIRC_R50_PFS	MIR_MIL	configs/MIR_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-21_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-21_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	3	0.7007874015748031	0.6164383561643836
TCGA_KIRC_R50_PFS	MEAN_MIL	configs/MEAN_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-14_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-14_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	9	0.6988188976377953	0.6203522504892368
