feature	model	seeds	acc_mean	acc_std	bacc_mean	bacc_std	macro_auc_mean	macro_auc_std	macro_f1_mean	macro_f1_std
uni	AC_MIL	3	0.6819923371647509	0.0331810499534268	0.6669685990338164	0.0471021750687299	0.8528518884497145	0.0096531407537005	0.6620185627691241	0.0476457885018781
uni	AB_MIL	3	0.6398467432950191	0.0289265687175124	0.6382850241545893	0.0218207505617809	0.8434466952129996	0.0139778410967597	0.6355950145923307	0.0257439163617971
uni	TRANS_MIL	3	0.6704980842911876	0.0862707298789095	0.6416062801932366	0.1198002991099842	0.8430486934563022	0.0437014087137361	0.6070600666336933	0.1497240076496073
uni	DTFD_MIL	3	0.6168582375478927	0.0066362099906853	0.6256038647342995	0.0123229470634918	0.8408212560386473	0.0228952049748637	0.6171391112331682	0.0055127903709992
uni	CLAM_MB_MIL	3	0.6206896551724138	0.0639972915267818	0.6222826086956522	0.0449420522073231	0.836580478700044	0.0329333732266087	0.6029547731448219	0.0636117268252102
uni	CLAM_SB_MIL	3	0.5977011494252874	0.0526732838500671	0.5960144927536232	0.0267056575866042	0.833524099692578	0.0127247783743763	0.5770545480342896	0.04247767996829
uni	MIR_MIL	3	0.6283524904214559	0.0351155225667113	0.5939009661835749	0.0519795226730939	0.8279726613965744	0.0276783553505329	0.5726895108915946	0.0799304797033161
uni	DS_MIL	3	0.6551724137931035	0.0459770114942529	0.6385869565217391	0.0363674998186317	0.821046058410189	0.0200205010216081	0.6330169068543278	0.0410564260386571
uni	WIKG_MIL	3	0.6513409961685824	0.0132724199813706	0.6419082125603864	0.0126514705951348	0.8209376372419851	0.0376025350733132	0.6429582710795002	0.0103854492092175
uni	RRT_MIL	3	0.632183908045977	0.050102286707364	0.6259057971014492	0.0442104152850969	0.8177989130434783	0.0219232372404637	0.615946662312267	0.042139036835894
r50	CLAM_MB_MIL	3	0.6091954022988505	0.019908629972056	0.6118659420289855	0.0139445691289317	0.7971220355731226	0.0097708537539227	0.6090403116850166	0.0144504543923291
r50	DTFD_MIL	3	0.6168582375478927	0.0351155225667114	0.6283212560386473	0.0278314665724966	0.7965758124725516	0.0097842186727389	0.6040506027376175	0.044071410950961
r50	TRANS_MIL	3	0.5363984674329502	0.0518304569289987	0.549969806763285	0.0367722759348359	0.7892951251646904	0.0301103500888019	0.4962946886561812	0.0673177184792935
r50	CLAM_SB_MIL	3	0.5862068965517241	0.0114942528735632	0.5801630434782609	0.0446260226458225	0.7826992753623188	0.0202585303619649	0.5474848006434028	0.0473267886647073
r50	AB_MIL	3	0.5938697318007663	0.0239271953961624	0.6047705314009661	0.0137470440070437	0.773659145805885	0.0127702135384656	0.5753023497437014	0.0334761111136349
r50	AC_MIL	3	0.5862068965517242	0.0414431181087814	0.59375	0.0349876954996883	0.7721536012296881	0.0107424354140019	0.5799027118516552	0.0349551637060628
r50	WIKG_MIL	3	0.5517241379310345	0.0526732838500671	0.5163043478260869	0.0269807445808088	0.762663317962231	0.0230159442977742	0.4787138929172241	0.0350936559041744
r50	RRT_MIL	3	0.5593869731800766	0.0331810499534268	0.5381944444444444	0.0409675049527401	0.759568511198946	0.0095597828441823	0.51608480937005	0.0634984813612807
r50	MIR_MIL	3	0.5287356321839081	0.0344827586206896	0.5226449275362319	0.0545004650003575	0.7569732652613087	0.0119834325196301	0.4951313747504824	0.0765303139008146
r50	DS_MIL	3	0.5287356321839081	0.0344827586206896	0.5104166666666666	0.0536813757204847	0.7283816425120774	0.0228537593225882	0.49449398016189	0.0583966098128006
