setting	feature	model	seeds	acc_mean	acc_std	bacc_mean	bacc_std	macro_auc_mean	macro_auc_std	macro_f1_mean	macro_f1_std
earlystop30_patience8	r50	MIR_MIL	3	0.5287356321839081	0.0344827586206896	0.5226449275362319	0.0545004650003575	0.7569732652613087	0.0119834325196301	0.4951313747504824	0.0765303139008146
noearlystop200_bestval	r50	MIR_MIL	3	0.5938697318007663	0.0351155225667114	0.5966183574879227	0.0254282807695083	0.7743083003952568	0.0076758671746165	0.585023416847342	0.0274864049531298
earlystop30_patience8	uni	MIR_MIL	3	0.6283524904214559	0.0351155225667113	0.5939009661835749	0.0519795226730939	0.8279726613965744	0.0276783553505329	0.5726895108915946	0.0799304797033161
noearlystop200_bestval	uni	MIR_MIL	3	0.632183908045977	0.0229885057471264	0.6055253623188406	0.0352766981023807	0.8403175779534475	0.0183606881953832	0.5990897025065106	0.0422974931560589
